,Waktu,Temp1,Temp2,Humid 1,Humid 2,Baterai,Temp outdoor,Humidity outdoor
7033,2025-11-17 09:18:52+07:00,,,,,,74.6,26.0
7034,2025-11-17 09:19:08+07:00,,,,,,74.3,26.0
7035,2025-11-17 09:19:24+07:00,,,,,,73.8,26.0
7036,2025-11-17 09:19:40+07:00,,,,,,73.2,26.0
7037,2025-11-17 09:19:56+07:00,,,,,,73.3,26.0
7038,2025-11-17 09:20:12+07:00,,,,,,73.0,25.9
7039,2025-11-17 09:20:28+07:00,,,,,,72.7,25.9
7040,2025-11-17 09:20:59+07:00,,,,,,25.9,72.6
7041,2025-11-17 09:21:15+07:00,,,,,,25.9,72.3
7042,2025-11-17 09:21:32+07:00,,,,,,25.8,72.0
7043,2025-11-17 09:21:48+07:00,,,,,,25.8,72.0
7044,2025-11-17 09:22:04+07:00,,,,,,25.8,71.8
7045,2025-11-17 09:22:34+07:00,,,,,,25.8,71.5
7046,2025-11-17 09:22:50+07:00,,,,,,25.8,71.2
7047,2025-11-17 09:23:06+07:00,,,,,,25.8,70.8
7048,2025-11-17 09:23:23+07:00,,,,,,25.8,70.8
7049,2025-11-17 09:23:39+07:00,,,,,,25.8,70.8
7050,2025-11-17 09:23:55+07:00,,,,,,25.8,71.6
7051,2025-11-17 09:24:32+07:00,,,,,,25.8,70.0
7052,2025-11-17 09:24:49+07:00,,,,,,25.8,69.7
7053,2025-11-17 09:25:05+07:00,,,,,,25.8,69.5
7054,2025-11-17 09:25:21+07:00,,,,,,25.8,69.4
7055,2025-11-17 09:25:37+07:00,,,,,,25.7,69.3
7056,2025-11-17 09:25:55+07:00,,,,,,25.7,69.2
7057,2025-11-17 09:26:11+07:00,,,,,,25.7,69.1
7058,2025-11-17 09:26:27+07:00,,,,,,25.7,69.0
7059,2025-11-17 09:26:44+07:00,,,,,,25.8,69.0
7060,2025-11-17 09:27:02+07:00,,,,,,25.8,68.5
7061,2025-11-17 09:27:19+07:00,,,,,,25.8,68.2
7062,2025-11-17 09:27:35+07:00,,,,,,25.8,68.1
7063,2025-11-17 09:28:16+07:00,,,,,,25.7,67.8
7064,2025-11-17 09:28:32+07:00,,,,,,25.7,68.1
7065,2025-11-17 09:28:48+07:00,,,,,,25.7,67.8
7066,2025-11-17 09:29:04+07:00,,,,,,25.7,67.9
7067,2025-11-17 09:29:20+07:00,,,,,,25.7,67.8
7068,2025-11-17 09:29:37+07:00,,,,,,25.7,69.5
7069,2025-11-17 09:29:53+07:00,,,,,,25.7,70.4
7070,2025-11-17 09:30:09+07:00,,,,,,25.8,70.3
7071,2025-11-17 09:30:25+07:00,,,,,,25.7,70.4
7072,2025-11-17 09:30:41+07:00,,,,,,25.7,70.6
7073,2025-11-17 09:30:57+07:00,,,,,,25.7,70.7
7074,2025-11-17 09:31:13+07:00,,,,,,25.7,70.9
7075,2025-11-17 09:31:29+07:00,,,,,,25.6,71.5
7076,2025-11-17 09:31:45+07:00,,,,,,25.6,71.7
7077,2025-11-17 09:32:01+07:00,,,,,,25.6,72.1
7078,2025-11-17 09:32:18+07:00,,,,,,25.6,71.8
7079,2025-11-17 09:32:34+07:00,,,,,,25.6,72.0
7080,2025-11-17 09:32:53+07:00,,,,,,25.6,72.3
7081,2025-11-17 09:33:08+07:00,,,,,,25.6,72.3
7082,2025-11-17 09:33:25+07:00,,,,,,25.6,72.5
7083,2025-11-17 09:33:41+07:00,,,,,,25.6,73.0
7084,2025-11-17 09:33:58+07:00,,,,,,25.6,72.9
7085,2025-11-17 09:34:32+07:00,,,,,,25.6,73.2
7086,2025-11-17 09:34:49+07:00,,,,,,25.7,73.4
7087,2025-11-17 09:35:05+07:00,,,,,,25.6,73.7
7088,2025-11-17 09:35:39+07:00,,,,,,25.7,74.0
7089,2025-11-17 09:35:55+07:00,,,,,,25.7,74.0
7090,2025-11-17 09:36:11+07:00,,,,,,25.7,73.9
7091,2025-11-17 09:36:50+07:00,,,,,,25.7,74.8
7092,2025-11-17 09:37:06+07:00,,,,,,25.7,74.8
7093,2025-11-17 09:37:22+07:00,,,,,,25.7,74.5
7094,2025-11-17 09:37:39+07:00,,,,,,25.7,74.7
7095,2025-11-17 09:37:55+07:00,,,,,,25.7,74.8
7096,2025-11-17 09:38:11+07:00,,,,,,25.7,75.0
7097,2025-11-17 09:38:27+07:00,,,,,,25.7,75.0
7098,2025-11-17 09:38:43+07:00,,,,,,25.8,75.2
7099,2025-11-17 09:38:59+07:00,,,,,,25.8,75.3
7100,2025-11-17 09:39:16+07:00,,,,,,25.8,75.4
7101,2025-11-17 09:39:32+07:00,,,,,,25.8,75.4
7102,2025-11-17 09:39:48+07:00,,,,,,25.8,75.4
7103,2025-11-17 09:40:17+07:00,,,,,,25.7,76.1
7104,2025-11-17 09:40:51+07:00,,,,,,25.8,75.9
